id,ts,underlying,ticker,strike,expiry,contract_type,last_price,volume,premium,underlying_price,dte,iv,delta,gamma,theta,vega,rho
223876870,2026-07-10T13:41:15.368725Z,TSLA,TSLA260713C00402500,402.5,2026-07-13,call,7.85,99,77715.0,405.08,3,0.4379,0.5754,0.024365,-1.0778,0.1439,0.0185
223876869,2026-07-10T13:41:15.367722Z,TSLA,TSLA260713C00400000,400.0,2026-07-13,call,9.46,114,107844.0,405.08,3,0.4476,0.6332,0.022903,-1.0619,0.1383,0.0203
223876425,2026-07-10T13:41:13.534208Z,TSLA,TSLA260724C00410000,410.0,2026-07-24,call,15.5,20,31000.0,405.08,14,0.5512,0.4833,0.009116,-0.6447,0.3162,0.0691
223875059,2026-07-10T13:41:09.361162Z,TSLA,TSLA270617C00500000,500.0,2027-06-17,call,51.9,20,103800.0,405.08,342,0.497,0.4564,0.002035,-0.1294,1.5549,1.2461
223874723,2026-07-10T13:41:08.841761Z,TSLA,TSLA260717P00475000,475.00000000000006,2026-07-17,put,69.2,8,55360.0,405.08,7,,,,,,
223873563,2026-07-10T13:41:07.171217Z,TSLA,TSLA260713P00405000,405.0,2026-07-13,put,5.52,107,59064.0,405.08,3,0.3847,-0.4866,0.028223,-0.9138,0.1464,-0.0167
223872211,2026-07-10T13:41:05.157826Z,TSLA,TSLA260731C00430000,430.0,2026-07-31,call,10.6,43,45580.0,405.08,21,0.5098,0.3424,0.007417,-0.4491,0.357,0.0737
223871033,2026-07-10T13:41:03.476327Z,TSLA,TSLA260717C00320000,320.0,2026-07-17,call,85.33,10,85330.0,405.08,7,,,,,,
223868436,2026-07-10T13:40:59.889606Z,TSLA,TSLA260713P00407500,407.5,2026-07-13,put,7.13,63,44919.0,405.08,3,0.4034,-0.5535,0.026687,-0.9476,0.1452,-0.019
223866875,2026-07-10T13:40:57.749281Z,TSLA,TSLA270115C00590000,590.0,2027-01-15,call,14.8,20,29600.0,405.08,189,0.499,0.2111,0.001987,-0.12,0.8426,0.3661
223865513,2026-07-10T13:40:55.445939Z,TSLA,TSLA260720P00402500,402.5,2026-07-20,put,9.7,120,116400.0,406.31,10,0.4395,-0.4275,0.013273,-0.5572,0.2639,-0.0502
223864989,2026-07-10T13:40:52.114356Z,TSLA,TSLA270115C00300000,300.0,2027-01-15,call,125.15,9,112635.0,406.31,189,0.4963,0.8628,0.001513,-0.112,0.6417,1.1673
223863481,2026-07-10T13:40:24.585784Z,TSLA,TSLA260731P00405000,405.0,2026-07-31,put,19.0,15,28500.0,406.31,21,0.5203,-0.4566,0.007821,-0.4536,0.3865,-0.1177
223861999,2026-07-10T13:40:19.497149Z,TSLA,TSLA261120C00410000,410.0,2026-11-20,call,48.0,12,57600.0,406.31,133,0.4786,0.5675,0.00335,-0.196,0.9644,0.6652
223860698,2026-07-10T13:40:14.632955Z,TSLA,TSLA260724P00415000,415.0,2026-07-24,put,21.81,17,37077.0,406.31,14,0.5473,-0.5508,0.009086,-0.5852,0.3149,-0.0942
223859330,2026-07-10T13:40:10.454646Z,TSLA,TSLA260807P00395000,395.0,2026-08-07,put,16.0,30,48000.0,406.31,28,0.4926,-0.3819,0.006879,-0.3564,0.4291,-0.1313
223858690,2026-07-10T13:40:07.879293Z,TSLA,TSLA270115C00330000,330.0,2027-01-15,call,103.76,5,51880.0,406.31,189,0.4947,0.7961,0.001958,-0.1355,0.828,1.1377
223858183,2026-07-10T13:40:07.134737Z,TSLA,TSLA260724P00410000,410.0,2026-07-24,put,18.65,40,74600.0,406.31,14,0.5375,-0.5067,0.009326,-0.5816,0.3174,-0.0861
223857632,2026-07-10T13:40:06.317705Z,TSLA,TSLA260807C00400000,400.0,2026-08-07,call,25.57,10,25570.0,406.31,28,0.484,0.583,0.007165,-0.4057,0.4392,0.1621
223855939,2026-07-10T13:40:03.837903Z,TSLA,TSLA260918C00410000,410.0,2026-09-18,call,32.8,8,26240.0,406.31,70,0.4639,0.5397,0.004809,-0.2571,0.7063,0.3576
223855933,2026-07-10T13:40:03.831275Z,TSLA,TSLA260717P00382500,382.5,2026-07-17,put,2.55,200,51000.0,406.31,7,0.4815,-0.1706,0.00936,-0.482,0.1427,-0.0138
223855737,2026-07-10T13:40:03.568767Z,TSLA,TSLA260918P00375000,375.0,2026-09-18,put,17.58,50,87900.0,406.31,70,0.4707,-0.2967,0.00413,-0.1899,0.6156,-0.2649
223855735,2026-07-10T13:40:03.565992Z,TSLA,TSLA260821C00400000,400.0,2026-08-21,call,29.9,15,44850.0,406.31,42,0.469,0.5834,0.006037,-0.3258,0.5378,0.2383
223855353,2026-07-10T13:40:02.991556Z,TSLA,TSLA260731C00410000,410.0,2026-07-31,call,18.25,15,27375.0,406.31,21,0.5012,0.5026,0.008168,-0.4869,0.3888,0.107
223854897,2026-07-10T13:40:02.361172Z,TSLA,TSLA261016C00400000,400.0,2026-10-16,call,44.73,8,35784.0,406.31,98,0.471,0.5932,0.003913,-0.2205,0.8169,0.527
223853780,2026-07-10T13:40:00.694996Z,TSLA,TSLA260821C00455000,455.0,2026-08-21,call,10.5,30,31500.0,406.31,42,0.478,0.2793,0.005103,-0.2764,0.4634,0.1185
223853775,2026-07-10T13:40:00.687841Z,TSLA,TSLA260724C00400000,400.0,2026-07-24,call,20.45,17,34765.0,406.31,14,0.5314,0.5867,0.00921,-0.6151,0.3099,0.0836
223853520,2026-07-10T13:40:00.328942Z,TSLA,TSLA260713C00377500,377.5,2026-07-13,call,29.5,10,29500.0,406.31,3,0.5403,0.9374,0.006185,-0.4516,0.0453,0.0289
223852705,2026-07-10T13:39:59.130364Z,TSLA,TSLA270115C00310000,310.0,2027-01-15,call,118.9,6,71340.0,406.31,189,0.512,0.8369,0.001646,-0.1248,0.7204,1.1451
223852688,2026-07-10T13:39:59.111946Z,TSLA,TSLA260717P00382500,382.5,2026-07-17,put,2.5,100,25000.0,406.31,7,0.478,-0.1689,0.009371,-0.4755,0.1418,-0.0136
223851953,2026-07-10T13:39:58.122245Z,TSLA,TSLA270115C00330000,330.0,2027-01-15,call,104.55,6,62730.0,406.31,189,0.5042,0.7936,0.001935,-0.1381,0.8341,1.1283
223850978,2026-07-10T13:39:56.752098Z,TSLA,TSLA260715C00415000,415.0,2026-07-15,call,5.35,199,106465.0,406.31,5,0.4665,0.3636,0.016919,-0.8504,0.1785,0.0195
223849918,2026-07-10T13:39:54.575067Z,TSLA,TSLA260821C00400000,400.0,2026-08-21,call,30.4,25,76000.0,406.31,42,0.4783,0.583,0.005921,-0.3317,0.5379,0.2376
223849916,2026-07-10T13:39:54.513989Z,TSLA,TSLA260717C00435000,435.0,2026-07-17,call,2.37,180,42660.0,406.31,7,0.4873,0.1674,0.009138,-0.4989,0.141,0.0126
223849497,2026-07-10T13:39:51.393282Z,TSLA,TSLA260713C00377500,377.5,2026-07-13,call,30.02,10,30020.0,408.46,3,,,,,,
223848288,2026-07-10T13:39:38.296695Z,TSLA,TSLA260713C00377500,377.5,2026-07-13,call,30.13,10,30130.0,408.46,3,,,,,,
223847850,2026-07-10T13:39:20.521665Z,TSLA,TSLA270115C00300000,300.0,2027-01-15,call,127.35,9,114615.0,408.46,189,0.5016,0.8643,0.001478,-0.1128,0.6403,1.1687
223847007,2026-07-10T13:39:16.576771Z,TSLA,TSLA260807P00405000,405.0,2026-08-07,put,20.0,20,40000.0,408.46,28,0.4984,-0.4382,0.00699,-0.3723,0.4459,-0.1526
223846985,2026-07-10T13:39:16.550701Z,TSLA,TSLA260713C00410000,410.0,2026-07-13,call,4.71,102,48042.0,408.46,3,0.3633,0.4655,0.029544,-0.914,0.1472,0.0152
223846812,2026-07-10T13:39:15.569250Z,TSLA,TSLA260731C00420000,420.0,2026-07-31,call,14.75,36,53100.0,408.46,21,0.4938,0.4387,0.008149,-0.4743,0.3862,0.0946
223846313,2026-07-10T13:39:13.577877Z,TSLA,TSLA260724P00410000,410.0,2026-07-24,put,18.0,53,95400.0,408.46,14,0.5506,-0.486,0.009052,-0.6005,0.3189,-0.0831
