ticker,underlying,strike,expiry,contract_type,last_price,volume_today,premium_today,underlying_price,dte,iv,delta,gamma,theta,vega,rho,last_trade_at,updated_at
SPY260702P00669000,SPY,669.0,2026-07-02,put,0.01,10,10.0,747.53,1,0.7074,-0.0013,0.000151,-0.0579,0.0016,-0.0,2026-07-01T17:56:31.022626Z,2026-07-01T17:56:47.366575Z
SPY260702C00670000,SPY,670.0,2026-07-02,call,77.34,21,164508.0,746.81,1,1.1032,0.9719,0.001493,-1.4422,0.0252,0.0178,2026-07-01T18:52:09.184961Z,2026-07-01T18:52:27.903039Z
SPY260702P00670000,SPY,670.0,2026-07-02,put,0.01,21,21.0,746.87,1,0.6935,-0.0013,0.000157,-0.0577,0.0017,-0.0,2026-07-01T18:49:17.353329Z,2026-07-01T18:49:22.686561Z
SPY260702C00671000,SPY,671.0,2026-07-02,call,77.34,5,38142.0,748.06,1,0.9814,0.9839,0.001043,-0.8253,0.0157,0.018,2026-07-01T15:16:25.188298Z,2026-07-01T15:16:36.412329Z
SPY260702P00671000,SPY,671.0,2026-07-02,put,0.02,3,6.0,747.32,2,0.5187,-0.0023,0.000254,-0.0521,0.004,-0.0001,2026-06-30T19:31:49.992898Z,2026-06-30T19:32:16.442787Z
SPY260702C00672000,SPY,672.0,2026-07-02,call,76.43,5,37687.0,748.06,1,1.0205,0.9791,0.001257,-1.0585,0.0197,0.018,2026-07-01T15:16:25.375271Z,2026-07-01T15:16:36.412329Z
SPY260702P00672000,SPY,672.0,2026-07-02,put,0.03,29,122.0,740.66,3,0.4028,-0.0036,0.000396,-0.0481,0.0072,-0.0002,2026-06-29T19:46:54.646890Z,2026-06-29T19:47:03.712382Z
SPY260702C00673000,SPY,673.0,2026-07-02,call,75.97,25,188571.0,748.82,1,0.8595,0.9917,0.000669,-0.4355,0.0088,0.0183,2026-07-01T16:01:44.303111Z,2026-07-01T16:02:14.829069Z
SPY260702P00673000,SPY,673.0,2026-07-02,put,0.01,1,1.0,745.73,1,0.6584,-0.0014,0.000174,-0.0573,0.0017,-0.0,2026-07-01T20:01:46.851551Z,2026-07-01T20:02:05.058682Z
SPY260702C00674000,SPY,674.0,2026-07-02,call,75.06,25,186302.0,748.82,1,0.9277,0.9858,0.000988,-0.7088,0.0141,0.0182,2026-07-01T16:01:44.272830Z,2026-07-01T16:02:14.829069Z
SPY260702P00674000,SPY,674.0,2026-07-02,put,0.01,3,4.0,747.52,2,0.4696,-0.0013,0.00017,-0.0286,0.0024,-0.0001,2026-06-30T19:12:14.008068Z,2026-06-30T19:12:17.968880Z
SPY260702C00675000,SPY,675.0,2026-07-02,call,72.05,2,14272.0,746.77,1,0.9215,0.983,0.001168,-0.8133,0.0164,0.0181,2026-07-01T14:20:32.019451Z,2026-07-01T14:20:57.928648Z
SPY260702P00675000,SPY,675.0,2026-07-02,put,0.01,37,37.0,745.73,1,0.6409,-0.0014,0.000183,-0.0571,0.0018,-0.0,2026-07-01T20:12:15.188957Z,2026-07-01T20:12:39.854277Z
SPY260702C00676000,SPY,676.0,2026-07-02,call,64.6,2,12923.0,739.8889,3,0.5613,0.9644,0.002077,-0.5453,0.0525,0.0533,2026-06-29T17:28:52.687121Z,2026-06-29T17:29:03.752252Z
SPY260702P00676000,SPY,676.0,2026-07-02,put,0.01,218,242.0,745.73,1,0.6322,-0.0014,0.000187,-0.0569,0.0018,-0.0,2026-07-01T20:12:40.210246Z,2026-07-01T20:13:09.989974Z
SPY260702P00677000,SPY,677.0,2026-07-02,put,0.01,457,457.0,745.73,1,0.6235,-0.0014,0.000192,-0.0568,0.0018,-0.0,2026-07-01T20:00:39.930533Z,2026-07-01T20:01:04.512248Z
SPY260702C00678000,SPY,678.0,2026-07-02,call,61.06,4,24304.0,738.37,3,0.5317,0.9639,0.002222,-0.5239,0.0529,0.0535,2026-06-29T15:44:53.190750Z,2026-06-29T15:45:00.546109Z
SPY260702P00678000,SPY,678.0,2026-07-02,put,0.01,1,1.0,746.69,1,0.6223,-0.0014,0.000192,-0.0568,0.0018,-0.0,2026-07-01T14:12:52.881851Z,2026-07-01T14:13:11.329971Z
SPY260702C00679000,SPY,679.0,2026-07-02,call,68.43,1,6843.0,747.11,1,0.9005,0.98,0.001376,-0.9087,0.0189,0.0182,2026-07-01T18:34:46.452095Z,2026-07-01T18:35:04.516952Z
SPY260702P00679000,SPY,679.0,2026-07-02,put,0.01,726,726.0,746.055,1,0.6086,-0.0015,0.000201,-0.0566,0.0019,-0.0,2026-07-01T20:00:23.932584Z,2026-07-01T20:00:34.279494Z
SPY260702C00680000,SPY,680.0,2026-07-02,call,68.92,15,98247.0,748.09,1,1.0847,0.9564,0.002174,-2.0154,0.0362,0.0177,2026-07-01T16:56:30.587349Z,2026-07-01T16:56:57.523290Z
SPY260702P00680000,SPY,680.0,2026-07-02,put,0.01,35,37.0,745.73,1,0.5973,-0.0015,0.000208,-0.0565,0.0019,-0.0,2026-07-01T20:04:18.931611Z,2026-07-01T20:04:36.304829Z
SPY260702C00681000,SPY,681.0,2026-07-02,call,50.82,1,5082.0,731.85,6,,,,,,,2026-06-26T20:08:07.432364Z,2026-06-26T20:08:30.764585Z
SPY260702P00681000,SPY,681.0,2026-07-02,put,0.01,302,305.0,745.73,1,0.5886,-0.0015,0.000214,-0.0564,0.0019,-0.0,2026-07-01T20:01:07.327685Z,2026-07-01T20:01:34.989394Z
SPY260702C00682000,SPY,682.0,2026-07-02,call,51.66,3,15498.0,732.56,6,0.3525,0.9468,0.003261,-0.3523,0.1014,0.1055,2026-06-26T19:36:41.196897Z,2026-06-26T19:36:52.936033Z
SPY260702P00682000,SPY,682.0,2026-07-02,put,0.01,648,1128.0,748.39,1,0.6008,-0.0015,0.000205,-0.0566,0.0019,-0.0,2026-07-01T16:51:42.854888Z,2026-07-01T16:51:49.388819Z
SPY260702C00683000,SPY,683.0,2026-07-02,call,70.45,4,28180.0,753.15,16,,,,,,,2026-06-16T14:30:05.716902Z,2026-06-16T14:30:32.059410Z
SPY260702P00683000,SPY,683.0,2026-07-02,put,0.01,801,1682.0,746.055,1,0.5738,-0.0015,0.000224,-0.0561,0.002,-0.0,2026-07-01T19:59:36.776598Z,2026-07-01T20:00:03.163208Z
SPY260702P00684000,SPY,684.0,2026-07-02,put,0.01,304,597.0,745.73,1,0.5625,-0.0016,0.000233,-0.056,0.002,-0.0,2026-07-01T20:00:36.357503Z,2026-07-01T20:01:04.512248Z
SPY260702C00685000,SPY,685.0,2026-07-02,call,62.0,2,12400.0,746.77,1,0.7749,0.9842,0.001302,-0.6541,0.0154,0.0184,2026-07-01T14:20:38.742634Z,2026-07-01T14:20:57.928648Z
SPY260702P00685000,SPY,685.0,2026-07-02,put,0.01,220,339.0,745.45,1,0.5516,-0.0016,0.000241,-0.0558,0.002,-0.0,2026-07-01T19:58:31.404169Z,2026-07-01T19:59:01.558486Z
SPY260702C00686000,SPY,686.0,2026-07-02,call,52.85,1,5285.0,737.39,9,0.3045,0.9393,0.003396,-0.2888,0.1387,0.1577,2026-06-23T16:25:50.152723Z,2026-06-23T16:25:54.978561Z
SPY260702P00686000,SPY,686.0,2026-07-02,put,0.02,56,126.0,746.48,1,0.5882,-0.0029,0.000382,-0.1008,0.0034,-0.0001,2026-07-01T19:50:47.909800Z,2026-07-01T19:51:17.298699Z
SPY260702C00687000,SPY,687.0,2026-07-02,call,60.96,2,12192.0,747.51,15,,,,,,,2026-06-17T18:21:50.119934Z,2026-06-17T18:22:15.491206Z
SPY260702P00687000,SPY,687.0,2026-07-02,put,0.01,23,25.0,746.29,1,0.5409,-0.0016,0.00025,-0.0556,0.0021,-0.0,2026-07-01T19:54:24.251405Z,2026-07-01T19:54:52.955531Z
SPY260702P00688000,SPY,688.0,2026-07-02,put,0.02,82,164.0,746.88,1,0.5732,-0.0029,0.0004,-0.1004,0.0035,-0.0001,2026-07-01T14:54:23.046968Z,2026-07-01T14:54:29.048324Z
SPY260702P00689000,SPY,689.0,2026-07-02,put,0.01,145,288.0,745.99,1,0.5211,-0.0017,0.000268,-0.0553,0.0021,-0.0,2026-07-01T19:53:12.720463Z,2026-07-01T19:53:21.442286Z
